latitud,longitud,comp_n,comp_e
3,-57,0.0117,-0.0031
3,-56,0.0118,-0.0031
3,-55,0.0119,-0.0032
3,-54,0.0119,-0.0032
3,-53,0.0119,-0.0031
3,-52,0.0119,-0.0031
3,-51,0.012,-0.003
2,-78,0.0118,0.001
2,-77,0.0116,0.0037
2,-76,0.0118,0.0003
2,-75,0.0124,0.0013
2,-74,0.0115,-0.0022
2,-73,0.01,-0.0032
2,-72,0.0101,-0.0032
2,-71,0.0102,-0.0032
2,-70,0.0103,-0.0028
2,-69,0.0104,-0.0028
2,-68,0.0105,-0.0027
2,-67,0.011,-0.0031
2,-66,0.0117,-0.0034
2,-65,0.0118,-0.0034
2,-64,0.0119,-0.0034
2,-63,0.012,-0.0034
2,-62,0.0121,-0.0029
2,-61,0.0119,-0.0032
2,-60,0.012,-0.0032
2,-59,0.0117,-0.0032
2,-58,0.0117,-0.0032
2,-57,0.0118,-0.0032
2,-56,0.0118,-0.0031
2,-55,0.0119,-0.0031
2,-54,0.0118,-0.003
2,-53,0.0119,-0.003
2,-52,0.0119,-0.003
2,-51,0.012,-0.003
2,-50,0.0123,-0.003
1,-79,0.0142,-0.0156
1,-78,0.0129,-0.0124
1,-77,0.0109,-0.0048
1,-76,0.0108,-0.0029
1,-75,0.0124,0.0014
1,-74,0.0115,-0.0021
1,-73,0.0114,-0.0026
1,-72,0.0101,-0.0031
1,-71,0.0104,-0.003
1,-70,0.0103,-0.0027
1,-69,0.0104,-0.0027
1,-68,0.0105,-0.0027
1,-67,0.011,-0.0028
1,-66,0.0117,-0.0033
1,-65,0.0118,-0.0033
1,-64,0.0119,-0.0033
1,-63,0.0122,-0.0032
1,-62,0.0124,-0.0034
1,-61,0.0123,-0.0032
1,-60,0.0121,-0.0031
1,-59,0.0121,-0.0031
1,-58,0.0121,-0.0031
1,-57,0.0121,-0.003
1,-56,0.0118,-0.003
1,-55,0.0117,-0.0028
1,-54,0.012,-0.0031
1,-53,0.0121,-0.0031
1,-52,0.0121,-0.003
1,-51,0.0123,-0.003
1,-50,0.0123,-0.003
0,-80,0.0162,-0.0228
0,-79,0.0152,-0.0148
0,-78,0.0139,-0.0116
0,-77,0.0118,-0.0126
0,-76,0.0099,-0.0058
0,-75,0.01,-0.0058
0,-74,0.0103,-0.0056
0,-73,0.0113,-0.0021
0,-72,0.01,-0.0029
0,-71,0.0101,-0.0026
0,-70,0.0103,-0.0026
0,-69,0.0104,-0.0026
0,-68,0.011,-0.0028
0,-67,0.0117,-0.0032
0,-66,0.0117,-0.0032
0,-65,0.0118,-0.0032
0,-64,0.0119,-0.0033
0,-63,0.0122,-0.0032
0,-62,0.0124,-0.0034
0,-61,0.0124,-0.0034
0,-60,0.0126,-0.0032
0,-59,0.0126,-0.0029
0,-58,0.0126,-0.0029
0,-57,0.0127,-0.0029
0,-56,0.0124,-0.0029
0,-55,0.0122,-0.0029
0,-54,0.012,-0.003
0,-53,0.0121,-0.003
0,-52,0.0121,-0.003
0,-51,0.0122,-0.003
0,-50,0.0123,-0.003
0,-49,0.0123,-0.003
0,-48,0.0123,-0.003
0,-47,0.0126,-0.003
-1,-80,0.014,-0.0104
-1,-79,0.0134,-0.0145
-1,-78,0.0136,-0.0103
-1,-77,0.0127,-0.0086
-1,-76,0.0109,-0.007
-1,-75,0.0103,-0.0069
-1,-74,0.0103,-0.0048
-1,-73,0.0104,-0.0032
-1,-72,0.0105,-0.0032
-1,-71,0.0109,-0.0027
-1,-70,0.0111,-0.0027
-1,-69,0.0114,-0.0031
-1,-68,0.0116,-0.0031
-1,-67,0.0117,-0.0031
-1,-66,0.0117,-0.0031
-1,-65,0.0118,-0.0031
-1,-64,0.0119,-0.0031
-1,-63,0.0123,-0.0031
-1,-62,0.0125,-0.0033
-1,-61,0.0125,-0.0033
-1,-60,0.0126,-0.0031
-1,-59,0.0126,-0.0027
-1,-58,0.0126,-0.0027
-1,-57,0.0127,-0.0029
-1,-56,0.0129,-0.0029
-1,-55,0.0122,-0.0028
-1,-54,0.012,-0.0029
-1,-53,0.0121,-0.0029
-1,-52,0.0121,-0.0029
-1,-51,0.0124,-0.003
-1,-50,0.0123,-0.0029
-1,-49,0.0123,-0.0029
-1,-48,0.0123,-0.0029
-1,-47,0.0131,-0.0027
-1,-46,0.0133,-0.003
-1,-45,0.0133,-0.003
-2,-81,0.0088,0.0047
-2,-80,0.0095,0.0028
-2,-79,0.0131,-0.006
-2,-78,0.0109,-0.0039
-2,-77,0.0124,-0.004
-2,-76,0.0101,-0.0051
-2,-75,0.0102,-0.0045
-2,-74,0.0102,-0.0043
-2,-73,0.0105,-0.0045
-2,-72,0.0105,-0.0031
-2,-71,0.0109,-0.0026
-2,-70,0.0113,-0.0029
-2,-69,0.0114,-0.0028
-2,-68,0.0116,-0.003
-2,-67,0.0117,-0.003
-2,-66,0.0117,-0.003
-2,-65,0.0118,-0.003
-2,-64,0.0119,-0.003
-2,-63,0.0124,-0.0032
-2,-62,0.0125,-0.0032
-2,-61,0.0126,-0.0032
-2,-60,0.0127,-0.003
-2,-59,0.0127,-0.0026
